Ref,Val,Package,PosX,PosY,Rot,Side
"ANT1","2450AT45A100E","9520_WiFiChipAntenna",6.030000,2.500000,180.000000,top
"C2","22pF/6.3V(10%)","C_0402_1005Metric",18.500000,6.950000,0.000000,top
"C3","22pF/6.3V(10%)","C_0402_1005Metric",18.500000,3.050000,180.000000,top
"C16","10uF","C_0603_1608Metric",28.425000,0.850000,0.000000,top
"C17","1uF","C_0402_1005Metric",24.300000,0.800000,0.000000,top
"C18","10n","C_0402_1005Metric",34.850000,15.000000,180.000000,top
"C19","4.7pF","C_0402_1005Metric",16.500000,1.500000,90.000000,top
"C20","2.4pF","C_0402_1005Metric",13.400000,1.500000,90.000000,top
"C22","10nF","C_0402_1005Metric",21.175000,13.150000,270.000000,top
"D1","LED_0402","LED_0402_1005Metric",16.250000,9.100000,90.000000,top
"L1","2.4nH","L_0402_1005Metric",15.000000,1.010000,0.000000,top
"R5","390R","R_0402_1005Metric",17.850000,9.550000,0.000000,top
"R6","1M","R_0402_1005Metric",34.850000,13.900000,180.000000,top
"R7","22.1K","R_0402_1005Metric",30.700000,7.700000,180.000000,top
"R8","47.5K","R_0402_1005Metric",30.700000,8.700000,0.000000,top
"R13","47K","R_0402_1005Metric",27.000000,8.400000,0.000000,top
"R17","47K","R_0402_1005Metric",30.050000,10.900000,180.000000,top
"R18","47K","R_0402_1005Metric",31.925000,10.350000,180.000000,top
"R19","50K","R_0402_1005Metric",21.900000,9.200000,0.000000,top
"U2","ESP32-D0WD","QFN-48-1EP_5x5mm_P0.35mm_EP3.7x3.7mm_ThermalVias",24.000000,4.600000,90.000000,top
"U4","DF5A5.6JE","SOT-553",32.800000,8.720000,0.000000,top
"U5","CP2102N-A01-GQFN24","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",31.470000,3.640000,270.000000,top
"X1","FA-128 40MHz","Crystal_SMD_2016-4Pin_2.0x1.6mm",18.500000,5.000000,270.000000,top
"X3","Micro_SD_Card_Molex_475710001","47571-0001",27.700000,14.500000,0.000000,top
